trial_number,l1_smooth,dropout_rate,lr_max,n_epoch,num_layers,num_resblocks,num_units_layer_0,num_units_layer_1,num_units_layer_2,num_units_layer_3,num_units_layer_4,use_batchnorm,use_dropout,use_resblocks,mae,mse,rmse,state
53,0.08047892153263092,0.5734098961255344,0.006917937996323648,163,5,,130,44.0,35.0,167.0,72.0,False,False,False,0.27275267243385315,0.1752973049879074,0.4186851978302002,COMPLETE
54,0.07489598542451859,0.6198986726881709,0.009772310226479588,186,5,,106,37.0,77.0,37.0,39.0,False,False,False,0.2620149552822113,0.1581202894449234,0.39764344692230225,COMPLETE
55,0.08367634564638138,0.6290127509193799,0.002488533666307846,195,5,,105,52.0,79.0,37.0,36.0,False,False,False,0.27955514192581177,0.1753058135509491,0.4186953902244568,COMPLETE
56,0.08658194541931152,0.44028382114313735,0.004003224044598242,250,4,,62,30.0,54.0,63.0,,False,False,False,0.28853246569633484,0.1865866333246231,0.43195676803588867,COMPLETE
57,0.08212114870548248,0.7490488381537295,0.009973777581031927,126,5,,152,89.0,65.0,53.0,21.0,False,False,False,0.2786927819252014,0.17228788137435913,0.41507574915885925,COMPLETE
58,0.08516988903284073,0.5605184726114438,0.002769090937696179,154,4,,226,62.0,47.0,31.0,,False,False,False,0.2847537398338318,0.17924460768699646,0.42337292432785034,COMPLETE
59,0.09403718262910843,0.5975216029524231,0.0014227438743445735,183,3,,94,68.0,92.0,,,False,False,False,0.3032449781894684,0.20267353951931,0.45019277930259705,COMPLETE
60,0.07881321758031845,0.6620962600858379,0.007232406737467815,267,5,,76,36.0,74.0,39.0,38.0,False,False,False,0.2730744183063507,0.16328316926956177,0.40408310294151306,COMPLETE
61,0.07760269194841385,0.5870541651494656,0.004452033639244388,213,5,,82,40.0,136.0,20.0,49.0,True,False,False,0.268110066652298,0.15859520435333252,0.3982401192188263,COMPLETE
62,0.07308001071214676,0.6222013562993397,0.004526573232769744,210,5,,107,40.0,143.0,23.0,48.0,True,False,False,0.26232072710990906,0.1522977650165558,0.3902534544467926,COMPLETE
63,0.07502301037311554,0.7067587851057109,0.0073064639293678214,177,5,,126,45.0,202.0,34.0,61.0,True,False,False,0.2657913565635681,0.1560971438884735,0.39509129524230957,COMPLETE
64,0.07046027481555939,0.7161120221523615,0.007354542394046133,235,5,,128,44.0,183.0,23.0,42.0,True,False,False,0.24939537048339844,0.1467118263244629,0.3830297589302063,COMPLETE
65,0.06884907931089401,0.7173693823108869,0.007164585108333191,235,5,,124,45.0,187.0,20.0,43.0,True,False,False,0.25364023447036743,0.14262539148330688,0.37765777111053467,COMPLETE
