trial_number,state,iterations,learning_rate,depth,l2_leaf_reg,mse,rmse,mae
81,COMPLETE,604,0.05078648582465617,4,1.2897450638197436e-07,0.0946550677633436,0.30766063733169313,0.18179645325068997
82,COMPLETE,676,0.0674824496477395,4,2.593432070392924e-07,0.08803170084424555,0.2967013664347462,0.1745377732347487
83,COMPLETE,626,0.11570805813100747,4,6.709229842238457e-08,0.09072579849391403,0.3012072351287632,0.17172576936486206
84,COMPLETE,648,0.06651326722364084,4,3.138193230488977e-08,0.07253216437351065,0.26931796147585596,0.16789660931271208
85,COMPLETE,524,0.08730811884709555,4,9.223690903710074e-08,0.08782959177844893,0.2963605773014503,0.1772777431722247
86,COMPLETE,647,0.06694010134818533,5,1.5850385523905357e-06,0.09357215266667301,0.3058956565018095,0.16975309585116463
87,COMPLETE,727,0.13087207035046003,4,1.8635733566898157e-07,0.08063535573346156,0.2839636521343208,0.1612010271025382
88,COMPLETE,690,0.13401462797863378,4,1.616337779046734e-07,0.09062284144889511,0.301036279290213,0.17312480983443532
89,COMPLETE,733,0.05133432041020917,4,2.1626397270880105e-07,0.09488249522041399,0.30803002324516027,0.1763532683998147
90,COMPLETE,851,0.14636280567136592,5,3.888153359908119e-07,0.12358137943794253,0.3515414334583372,0.18852550102565127
91,COMPLETE,658,0.11952824400638995,4,3.015755622141143e-08,0.08139971671453257,0.2853063558957854,0.1729877198449011
92,COMPLETE,660,0.10695996695430954,4,2.8248271118663304e-08,0.08491050853982271,0.2913940777363581,0.16986787617561613
93,COMPLETE,683,0.13139575931981237,4,8.22163615745218e-08,0.08197210197922106,0.2863077050643609,0.17005925666496763
94,COMPLETE,583,0.17552975125269504,4,6.08510001370117e-08,0.10477588056030036,0.3236910263821046,0.17454622410806084
95,COMPLETE,613,0.07556186003619277,4,4.250677713549317e-08,0.08014515984776419,0.28309920495784546,0.17310513584777756
96,COMPLETE,608,0.07121346686172725,4,1.1398099540669664e-07,0.08842929851062381,0.29737064164208243,0.17604433006533232
97,COMPLETE,708,0.07770325108589779,4,4.067799148027111e-08,0.08508390904155892,0.2916914620648999,0.17113937866409443
98,COMPLETE,618,0.0643281459438148,4,3.340843592209124e-07,0.09939751109052405,0.315273708213235,0.1783309062841103
99,COMPLETE,482,0.04147823216550121,5,5.4798405168782715e-08,0.10076977322726621,0.31744255106596253,0.18280344754949254
100,COMPLETE,742,0.08388729878315972,4,6.295148735158614e-07,0.08141877774874502,0.285339758443763,0.16890655305236182
101,COMPLETE,679,0.10885405046175026,4,2.2576339531667952e-08,0.08576850455736447,0.29286260354877075,0.16509216565936047
102,COMPLETE,653,0.14984580869447503,4,3.048409550714894e-08,0.08761310284046653,0.29599510610898033,0.16390885315517484
103,COMPLETE,585,0.09414359224628704,4,1.8698611897431022e-07,0.0871191651474125,0.2951595587939047,0.17036518596214129
104,COMPLETE,563,0.11893117840059043,4,3.770650114050937e-08,0.08123956624922855,0.28502555367761073,0.1677641056263751
105,COMPLETE,545,0.09050108450671217,4,0.0001499024335477275,0.09473511285545538,0.30779069650568613,0.1756990582407458
106,COMPLETE,503,0.10133353192335504,4,1.2646329843230032e-07,0.07614451317825728,0.27594295276063363,0.17100787797449668
107,COMPLETE,512,0.07401455859861356,4,7.97991536774998e-08,0.0922930567719091,0.3037977234475418,0.17428142328474944
108,COMPLETE,315,0.09753966849915559,5,1.3354536082089254e-07,0.0940861136949154,0.30673459813805715,0.18306186870826954
109,COMPLETE,537,0.13129279495441162,4,1.3047980477974817e-06,0.07978501575049478,0.28246241475724654,0.1657518193839535
110,COMPLETE,457,0.054813152722460325,4,2.611894829805317e-07,0.08952742744609324,0.29921134244224973,0.18114920560868486
111,COMPLETE,598,0.01026021855775748,4,1.584598572876359e-06,0.12963332167429312,0.3600462771287784,0.2440727142088722
112,COMPLETE,488,0.10298769497039596,4,1.1279193886499222e-07,0.07938434162782909,0.281752269960384,0.17367293788132956
113,COMPLETE,417,0.1274658895344488,4,1.785417627268065e-07,0.09199215543403959,0.3033020861023537,0.17764967984236055
114,COMPLETE,391,0.10573361303867428,4,8.682217639914211e-07,0.08318055565834309,0.2884103945046764,0.17933593194105554
115,COMPLETE,503,0.11169745017896651,4,1.028463202017087e-07,0.08445316846723225,0.29060827322571575,0.17398117641378374
116,COMPLETE,535,0.10239492315282869,4,0.008329182615522141,0.08879963823746792,0.29799268151662367,0.17447085625548348
117,COMPLETE,471,0.08423433605662983,4,1.4042481873811956e-07,0.08799930384882405,0.29664676611893825,0.18160436746050437
118,COMPLETE,566,0.14097791649299443,4,7.153613972970552e-08,0.09786115763608348,0.3128276804186028,0.17768609053749776
119,COMPLETE,491,0.08933032441593232,4,4.828505071360366e-08,0.08967268083447645,0.29945397114494315,0.17634773582934224
120,COMPLETE,790,0.1298615189188097,4,3.993346097161042e-07,0.08640172667220676,0.29394170624837634,0.17053019314006224
121,COMPLETE,633,0.153196969431715,4,1.8737934168045187e-08,0.10098313149949785,0.3177784314573565,0.1742645259698843
122,COMPLETE,616,0.1880026071443073,4,8.518788101605726e-06,0.11294729249456972,0.3360763194492729,0.17653650197803616
123,COMPLETE,726,0.16636498700465932,6,2.7755613312210415e-07,0.09864756151964651,0.3140820935991839,0.1811490150621314
124,COMPLETE,521,0.09701191541127013,4,1.0859601689923909e-07,0.08453555034003767,0.2907499790886281,0.17709649099846803
125,COMPLETE,699,0.22408329131428545,4,1.4554282228399857e-05,0.09305731820776812,0.3050529760677121,0.17889760343491506
126,COMPLETE,545,0.11242987996223723,4,5.265249618827679e-08,0.08938347947851627,0.298970700033492,0.17020789154714525
127,COMPLETE,648,0.06854738870641669,5,1.176061171458752e-06,0.08981870193303036,0.299697684230343,0.16861610068495542
128,COMPLETE,754,0.13821113883508504,4,7.462131039355503e-08,0.10131740892221966,0.31830395681206924,0.18275234855359132
129,COMPLETE,595,0.08037335270293099,4,2.00751133864014e-07,0.10003065893095855,0.316276238328077,0.17309945109866937
130,COMPLETE,451,0.06414966933425309,7,1.1776812238511168e-08,0.09420256933746488,0.306924370712827,0.18166696045838637
131,COMPLETE,575,0.12207111060414028,4,3.845060209431366e-08,0.08902709908393064,0.29837409251463276,0.1741083436803775
132,COMPLETE,558,0.12273295894663871,4,2.555855940178053e-08,0.09163615150774189,0.3027146370886976,0.1709870444724604
133,COMPLETE,674,0.11930068609122667,4,3.6222513069276786e-08,0.08370864013071055,0.28932445477475727,0.1669905445887392
134,COMPLETE,615,0.11400898990728736,4,1.9913368832488855e-08,0.09281530293446541,0.3046560403708835,0.17127182701914043
135,COMPLETE,572,0.1041385419712866,4,5.816219970935926e-08,0.07658921405398178,0.27674756377244186,0.16816879009502414
136,COMPLETE,636,0.10567774582716052,10,1.1971770139800761e-07,0.10582684855019048,0.3253103880145706,0.19385309531252357
137,COMPLETE,588,0.09260365851748774,4,6.780401643922763e-08,0.09528401599500286,0.3086810910875541,0.17323337143399484
138,COMPLETE,532,0.07467778620284103,4,1.7433870974406253e-07,0.09148040374035665,0.30245727589257404,0.17614794589745555
139,COMPLETE,695,0.08657318051670465,5,5.489351272249816e-08,0.09977997509861067,0.31587968452974413,0.1733115749093569
140,COMPLETE,478,0.09981066676875436,4,9.477888839765089e-08,0.08604046534750638,0.2933265507033183,0.17455634333222367
141,COMPLETE,565,0.13702470209337855,4,4.008641347086048e-08,0.08045266794646332,0.2836417951333395,0.1668867086075856
142,COMPLETE,572,0.14578005765777366,4,1.3731995522293823e-07,0.10285842876946204,0.32071549505669666,0.18163230646323378
143,COMPLETE,616,0.12877106870035693,4,4.652407045362348e-08,0.09367158176103796,0.306058134610139,0.17566893261128902
144,COMPLETE,660,0.13525072497741236,4,8.493203892784296e-08,0.08077674691763027,0.284212503098703,0.1697402026271631
145,COMPLETE,663,0.13465212739036042,4,8.015317392378215e-08,0.07745264881828445,0.27830315991430005,0.16132710315810445
146,COMPLETE,655,0.13258974384098943,4,6.269634856687058e-08,0.09296953177484316,0.3049090549243219,0.17294982599582281
147,COMPLETE,630,0.16048456462710003,9,8.204008531739954e-08,0.12462994706769737,0.35302966882076264,0.20046409435448623
148,COMPLETE,717,0.14027725539791452,4,2.3783722944924004e-07,0.08406408320344225,0.2899380678756107,0.16382042506676847
149,COMPLETE,669,0.15011939820685807,4,2.2857902794089693e-06,0.090807486526882,0.30134280566637395,0.17378568355010038
150,COMPLETE,813,0.11239609071540259,4,8.310550200364991e-08,0.07859763814991294,0.2803527031257465,0.16895349311077626
151,COMPLETE,857,0.10984615216119144,4,8.876904931097471e-08,0.07924784869939681,0.2815099442282578,0.1657557973342944
152,COMPLETE,846,0.10871039126972035,4,4.765075840916085e-08,0.0785788392499213,0.28031917388919597,0.1629237181705586
153,COMPLETE,893,0.11235988613322116,4,4.535997302721871e-08,0.0808826688116803,0.2843987848280655,0.16856238830425047
154,COMPLETE,859,0.10880283588315555,4,2.802807271050988e-08,0.0870520716225591,0.2950458805381954,0.16612935151678707
155,COMPLETE,837,0.1031750536430066,4,6.05783767939031e-08,0.08356597948836622,0.2890778087096383,0.17201610675473764
156,COMPLETE,810,0.09971716487223063,4,4.107648360315889e-08,0.08114369405238402,0.2848573222727196,0.1706769299507603
157,COMPLETE,911,0.09285661073641174,4,1.0613153581205441e-07,0.07894851987560292,0.2809777924954264,0.16733018762530097
158,COMPLETE,881,0.09441008201699083,4,1.0009258692974532e-07,0.0865267651111099,0.29415432193171986,0.16556868285836573
159,COMPLETE,934,0.1079738710797387,4,1.338477597620965e-07,0.07389145327306927,0.2718298241052097,0.1615977828857703
160,COMPLETE,838,0.08208019541440853,4,1.4251257729257368e-07,0.0840462203528577,0.28990726164216324,0.16813441821407507
161,COMPLETE,966,0.1076796721239167,4,1.1592085725726848e-07,0.07838386706050335,0.27997118969726753,0.1637986630008919
162,COMPLETE,958,0.1073850766780125,4,1.0041318314482834e-07,0.08422268329984259,0.29021144584568437,0.1670797913334476
163,COMPLETE,963,0.11549216030015047,4,1.4358240205146752e-07,0.08499426823759217,0.2915377646851127,0.16860025175298868
164,COMPLETE,897,0.09295992136484646,4,2.934928824957289e-07,0.08145418704566049,0.28540179930347404,0.16748014767929587
165,COMPLETE,921,0.10125566781973068,4,3.10504560951758e-05,0.07264645646456566,0.26953006597514434,0.16541871309769093
166,COMPLETE,919,0.10025662466349193,4,3.9518602124123785e-05,0.07759474222074886,0.27855832822004956,0.16066615710885296
167,COMPLETE,926,0.10196010790577997,4,3.22703883509114e-05,0.07924458073658658,0.28150413982140043,0.16428297757502983
168,COMPLETE,915,0.08870365370911526,4,5.3256247606589766e-05,0.08588712252717873,0.2930650482865173,0.1713751624397926
169,COMPLETE,927,0.09992855320534572,4,2.8534052025708213e-05,0.0822068974510596,0.2867174522959138,0.16925395688658773
170,COMPLETE,974,0.10811905763467786,4,3.6845567978601635e-05,0.07555183908474221,0.2748669479670886,0.16848903393352907
